gene/TE	count	sample
"gene_10648"	21	W12MR1
"gene_10649"	1	W12MR1
"gene_1065"	1182	W12MR1
"gene_10650"	131	W12MR1
"gene_10651"	22	W12MR1
"gene_10652"	1094	W12MR1
"gene_10653"	1673	W12MR1
"gene_10654"	406	W12MR1
"gene_10655"	3861	W12MR1
"gene_10656"	52001	W12MR1
"gene_10657"	1718	W12MR1
"gene_10658"	4372	W12MR1
"gene_10659"	12908	W12MR1
"gene_10660"	593	W12MR1
"gene_10661"	763	W12MR1
"gene_10662"	17616	W12MR1
"gene_10663"	104078	W12MR1
"gene_10664"	615	W12MR1
"gene_10665"	10863	W12MR1
"gene_10666"	20648	W12MR1
"gene_10667"	3405	W12MR1
"gene_10668"	5664	W12MR1
"gene_10669"	700	W12MR1
"gene_1067"	2235	W12MR1
"gene_10670"	198930	W12MR1
"gene_10671"	6236	W12MR1
"gene_10672"	2145	W12MR1
"gene_10673"	2793	W12MR1
"gene_10674"	15	W12MR1
"gene_10675"	499	W12MR1
"gene_10676"	1903	W12MR1
"gene_10677"	3559	W12MR1
"gene_10678"	344	W12MR1
"gene_10679"	5613	W12MR1
"gene_1068"	306	W12MR1
"gene_10680"	1767	W12MR1
"gene_10681"	31760	W12MR1
"gene_10682"	2709	W12MR1
"gene_10683"	7597	W12MR1
"gene_10684"	7960	W12MR1
"gene_10685"	13389	W12MR1
"gene_10686"	59937	W12MR1
"gene_10687"	198	W12MR1
"gene_10688"	2996	W12MR1
"gene_10689"	7469	W12MR1
"gene_1069"	7260	W12MR1
"gene_10690"	1950	W12MR1
"gene_10691"	28	W12MR1
"gene_10692"	1819	W12MR1
"gene_10693"	519	W12MR1
"gene_10694"	914	W12MR1
"gene_10695"	2538	W12MR1
"gene_10696"	8448	W12MR1
"gene_10697"	2471	W12MR1
"gene_10698"	1018	W12MR1
"gene_10699"	8021	W12MR1
"gene_107"	0	W12MR1
"gene_1070"	1202	W12MR1
"gene_10700"	2235	W12MR1
"gene_10701"	2361	W12MR1
"gene_10702"	1707	W12MR1
"gene_10703"	1125	W12MR1
"gene_10704"	3783	W12MR1
"gene_10705"	3975	W12MR1
"gene_10706"	1422	W12MR1
"gene_10707"	1421	W12MR1
"gene_10708"	2006	W12MR1
"gene_10709"	3059	W12MR1
"gene_1071"	38	W12MR1
"gene_10710"	1503	W12MR1
"gene_10711"	2092	W12MR1
"gene_10712"	3419	W12MR1
"gene_10714"	5453	W12MR1
"gene_10715"	2187	W12MR1
"gene_10716"	4	W12MR1
"gene_10717"	486	W12MR1
"gene_10718"	969	W12MR1
"gene_10719"	1758	W12MR1
"gene_1072"	42	W12MR1
"gene_10720"	6513	W12MR1
"gene_10721"	2930	W12MR1
"gene_10722"	926	W12MR1
"gene_10723"	343	W12MR1
"gene_10724"	5276	W12MR1
"gene_10725"	271	W12MR1
"gene_10726"	2283	W12MR1
"gene_10727"	3229	W12MR1
"gene_10728"	13449	W12MR1
"gene_10729"	6022	W12MR1
"gene_1073"	18	W12MR1
"gene_10730"	1113	W12MR1
"gene_10731"	1270	W12MR1
"gene_10732"	2819	W12MR1
"gene_10733"	3665	W12MR1
"gene_10734"	3535	W12MR1
"gene_10735"	1222	W12MR1
"gene_10736"	11094	W12MR1
"gene_10737"	3742	W12MR1
"gene_10738"	2426	W12MR1
"gene_10739"	1449	W12MR1
"gene_1074"	30	W12MR1
"gene_10740"	500	W12MR1
"gene_10741"	18	W12MR1
"gene_10742"	2359	W12MR1
"gene_10743"	3925	W12MR1
"gene_10744"	6379	W12MR1
"gene_10745"	2609	W12MR1
"gene_10746"	2622	W12MR1
"gene_10747"	8476	W12MR1
"gene_10748"	4382	W12MR1
"gene_10749"	532	W12MR1
"gene_1075"	2419	W12MR1
"gene_10750"	4602	W12MR1
"gene_10751"	12654	W12MR1
"gene_10752"	1347	W12MR1
"gene_10753"	16090	W12MR1
"gene_10754"	7597	W12MR1
"gene_10755"	4356	W12MR1
"gene_10756"	133042	W12MR1
"gene_10757"	2956	W12MR1
"gene_10758"	5142	W12MR1
"gene_10759"	21217	W12MR1
"gene_1076"	11	W12MR1
"gene_10760"	2067	W12MR1
"gene_10761"	4	W12MR1
"gene_10762"	11	W12MR1
"gene_10763"	1083	W12MR1
"gene_10764"	85	W12MR1
"gene_10765"	1515	W12MR1
"gene_10766"	1580	W12MR1
"gene_10767"	4846	W12MR1
"gene_10768"	0	W12MR1
"gene_10769"	1134	W12MR1
"gene_1077"	31	W12MR1
"gene_10770"	5468	W12MR1
"gene_10771"	404	W12MR1
"gene_10772"	188	W12MR1
"gene_10773"	153	W12MR1
"gene_10774"	586	W12MR1
"gene_10775"	2278	W12MR1
"gene_10776"	4449	W12MR1
"gene_10777"	57441	W12MR1
"gene_10778"	2167	W12MR1
